i,r_sd,r_bd,r_cd
0,175,139,108
1,180,141,109
2,182,143,110
3,187,146,111
4,191,145,111
5,193,147,112
6,195,148,112
7,200,150,113
8,203,151,114
9,206,150,114
10,209,152,115
11,211,152,116
12,214,153,117
13,215,151,117
14,219,151,117
15,220,153,118
16,224,153,117
17,227,153,118
18,228,154,118
19,232,153,119
20,234,153,120
21,236,153,120
22,237,154,121
23,238,154,121
24,241,155,123
25,243,155,123
26,246,155,124
27,247,156,125
28,249,156,125
29,251,156,125
30,252,156,126
31,254,157,127
32,256,157,127
33,257,157,127
34,258,158,128
35,260,159,129
36,262,159,128
37,263,159,129
38,281,159,129
39,266,159,129
40,267,159,130
41,269,159,130
42,284,159,130
43,272,160,131
44,273,161,132
45,274,161,131
46,276,161,132
47,277,162,132
48,278,163,133
49,288,162,133
50,281,163,133
51,282,163,133
52,283,163,133
53,284,164,134
54,285,165,135
55,286,164,135
56,288,165,136
57,293,,134
58,294,,134
59,291,,133
60,292,165,134
61,295,,135
62,295,167,136
63,296,167,137
64,297,167,137
65,299,,136
66,299,,136
67,301,,136
68,302,169,137
69,303,170,137
70,304,170,137
71,305,171,137
72,306,171,138
73,307,171,137
74,308,171,138
75,309,171,139
76,309,171,138
77,311,171,139
78,312,171,140
79,313,171,140
80,314,171,140
81,314,171,141
82,315,171,140
83,316,171,141
84,317,171,142
85,318,171,142
86,318,171,142
87,319,171,142
88,320,171,142
89,321,171,142
90,322,171,143
91,323,171,143
92,323,172,143
93,324,172,143
94,325,172,144
95,327,172,144
96,328,172,145
97,328,172,145
98,329,172,145
99,329,172,144
100,331,172,145
101,331,173,144
102,333,173,145
103,333,173,145
104,334,173,146
105,335,174,145
106,335,173,146
107,336,173,145
108,337,173,145
109,338,174,145
110,339,174,145
111,340,174,144
112,341,174,145
113,341,174,145
114,342,174,145
115,343,174,145
116,344,,144
117,345,,144
118,346,,143
119,347,,144
120,348,,145
121,348,174,146
122,349,174,145
123,350,173,144
124,351,173,145
125,352,173,145
126,353,173,145
127,354,173,144
128,354,173,145
129,355,173,144
130,356,173,144
131,357,173,144
132,357,173,144
133,358,173,144
134,359,173,144
135,360,173,144
136,360,173,145
137,361,173,144
138,362,173,144
139,363,174,144
140,364,174,144
141,364,174,144
142,365,174,144
143,366,174,144
144,367,174,145
145,367,175,144
146,368,175,144
147,368,,144
148,369,,143
149,369,,146
150,369,,145
151,370,175,146
152,371,175,145
153,371,175,146
154,372,175,146
155,373,175,146
156,373,174,147
157,374,174,147
158,375,174,148
159,375,174,146
160,376,174,146
161,377,173,146
162,377,173,146
163,378,173,147
164,379,173,147
165,379,173,148
166,380,173,144
167,380,172,144
168,381,173,144
169,381,173,144
170,382,172,143
171,382,172,144
172,383,172,144
173,383,172,144
174,384,171,144
175,385,171,145
176,385,170,145
177,386,170,146
178,386,170,142
179,387,169,143
180,388,169,143
181,388,169,143
182,389,169,143
183,389,169,143
184,390,169,144
185,391,169,143
186,391,169,142
187,392,169,143
188,392,169,143
189,393,168,142
190,393,168,142
191,394,168,142
192,394,168,142
193,395,168,142
194,395,168,141
195,396,168,141
196,396,168,142
197,397,167,142
198,397,167,142
199,398,167,143
200,399,166,143
201,399,166,142
202,400,166,142
203,400,165,139
204,401,165,140
205,401,165,140
206,402,165,139
207,402,165,138
208,403,164,138
209,403,164,138
210,404,164,138
211,404,164,137
212,405,163,137
213,405,163,137
214,406,163,137
215,406,162,136
216,406,162,136
217,407,161,136
218,407,161,136
219,408,161,137
220,408,161,137
221,409,160,136
222,409,160,135
223,409,159,135
224,410,159,135
225,410,158,135
226,411,158,134
227,411,158,134
228,411,157,134
229,412,,132
230,412,156,132
231,413,156,132
232,413,156,133
233,414,155,131
234,414,155,131
235,414,155,130
236,415,,130
237,416,,129
238,416,,129
239,416,,128
240,417,,128
241,417,,128
242,417,,129
243,418,,128
244,418,,126
245,419,152,128
246,419,152,127
247,420,151,127
248,420,151,127
249,420,151,127
250,421,150,126
251,422,150,126
252,422,149,125
253,422,149,125
254,423,149,124
255,423,149,124
256,423,148,123
257,424,148,123
258,424,147,122
259,425,147,123
260,425,147,121
261,425,146,121
262,426,146,120
263,426,145,118
264,427,145,118
265,427,144,117
266,427,144,117
267,428,,116
268,428,142,115
269,428,142,115
270,429,141,113
271,429,140,113
272,430,140,111
273,430,139,111
274,430,139,110
275,431,138,110
276,431,137,108
277,431,,107
278,431,,106
279,432,,105
280,432,,105
281,432,132,103
282,433,131,102
283,433,131,102
284,433,130,101
285,434,129,100
286,434,128,100
287,434,128,97
288,435,128,98
289,435,127,97
290,435,,96
291,436,,92
292,436,,88
293,436,,87
294,436,,86
295,437,,83
296,437,,81
297,437,,82
298,437,,77
299,437,,75
300,438,,73
301,438,,71
302,438,,69
303,439,,67
304,439,,66
305,439,123,129
306,439,121,127
307,439,120,126
308,440,,
309,440,,187
310,440,,
311,440,,
312,441,,188
313,441,,
314,441,,
315,442,,
316,442,,
317,442,,
318,442,,
319,442,,
320,442,,
321,443,,
322,443,,
323,443,,
324,443,,
325,443,,
326,444,,
327,444,,
328,444,,
329,445,,
330,445,,
331,445,,
332,446,,
333,446,,
334,446,,
335,447,,
336,447,,
337,447,,
338,447,,
339,448,,
340,448,,
341,448,,
342,448,,
343,449,,
344,449,,
345,449,,
346,449,,
347,450,,
348,450,,
349,450,,
350,450,,
351,450,,
352,451,,
353,451,,
354,451,,
355,451,,
356,452,,
357,452,,
358,452,,
359,452,,
360,453,,
361,453,,
362,453,,
363,454,,
364,454,,
365,454,,
366,454,,
367,454,,
368,455,,
369,455,,
370,455,,
371,455,,
372,455,,
373,455,,
374,456,,
375,456,,
376,456,,
377,456,,
378,456,,
379,456,,
380,457,,
381,457,,
382,457,,
383,457,,
384,457,,
385,458,,
386,458,,
387,458,,
388,458,,
389,458,,
390,458,,
391,458,,
392,458,,
393,458,,
394,458,,
395,459,,
396,459,,
397,459,,
398,459,,
399,459,,
400,459,,
401,459,,
402,459,,
403,459,,
404,459,,
405,459,,
406,459,,
407,459,,
408,460,,
409,460,,
410,460,,
411,460,,
412,460,,
413,460,,
414,460,,
415,460,,
416,460,,
417,460,,
418,460,,
419,460,,
420,460,,
421,460,,
422,460,,
423,460,,
424,461,,
425,461,,
426,461,,
427,461,,
428,461,,
429,461,,
430,461,,
431,461,,
432,461,,
433,461,,
434,461,,
435,461,,
436,461,,
437,461,,
438,461,,
439,461,,
440,461,,
441,462,,
442,462,,
443,462,,
444,462,,
445,462,,
446,462,,
447,462,,
448,462,,
449,462,,
450,462,,
451,462,,
452,462,,
453,462,,
454,462,,
455,462,,
456,462,,
457,462,,
458,462,,
459,462,,
460,462,,
461,462,,
462,462,,
463,462,,
464,462,,
465,462,,
466,462,,
467,462,,
468,462,,
469,462,,
470,462,,
471,462,,
472,462,,
473,462,,
474,462,,
475,462,,
476,462,,
477,463,,
478,463,,
479,463,,
480,463,,
481,463,,
482,463,,
483,463,,
484,463,,
485,463,,
486,463,,
487,463,,
488,463,,
489,463,,
490,463,,
491,463,,
492,463,,
493,463,,
494,463,,
495,463,,
496,463,,
497,463,,
498,463,,
499,463,,
500,463,,
501,463,,
502,463,,
503,463,,
504,464,,
505,464,,
506,464,,
507,464,,
508,464,,
509,464,,
510,464,,
511,464,,
512,464,,
513,464,,
514,464,,
515,464,,
516,464,,
517,464,,
518,464,,
519,464,,
520,464,,
521,464,,
522,464,,
523,464,,
524,464,,
525,464,,
526,464,,
527,464,,
528,464,,
529,464,,
530,464,,
531,464,,
532,464,,
533,464,,
534,464,,
535,464,,
536,464,,
537,464,,
538,464,,
539,464,,
540,464,,
541,464,,
542,464,,
543,464,,
544,464,,
545,464,,
546,464,,
547,464,,
548,464,,
549,464,,
550,464,,
551,464,,
552,464,,
553,464,,
554,464,,
555,464,,
556,464,,
557,464,,
558,464,,
559,464,,
560,464,,
561,464,,
562,464,,
563,464,,
564,464,,
565,464,,
566,464,,
567,464,,
568,464,,
569,464,,
570,464,,
571,464,,
572,464,,
573,464,,
574,464,,
575,464,,
576,464,,
577,464,,
578,464,,
579,464,,
580,464,,
581,464,,
582,464,,
583,464,,
584,464,,
585,464,,
586,464,,
587,464,,
588,464,,
589,464,,
590,464,,
591,464,,
592,464,,
593,464,,
594,464,,
595,464,,
596,464,,
597,464,,
598,464,,
599,464,,
600,464,,
601,464,,
602,464,,
603,464,,
604,464,,
605,464,,
606,464,,
607,464,,
608,464,,
609,463,,
610,463,,
611,463,,
612,463,,
613,463,,
614,463,,
615,463,,
616,463,,
617,463,,
618,463,,
619,463,,
620,463,,
621,463,,
622,463,,
623,463,,
624,463,,
625,463,,
626,463,,
627,463,,
628,463,,
629,463,,
630,463,,
631,463,,
632,463,,
633,463,,
634,463,,
635,463,,
636,463,,
637,463,,
638,463,,
639,463,,
640,463,,
641,463,,
642,463,,
643,463,,
644,463,,
645,463,,
646,463,,
647,463,,
648,463,,
649,463,,
650,463,,
651,463,,
652,463,,
653,463,,
654,463,,
655,463,,
656,463,,
657,463,,
658,463,,
659,463,,
660,463,,
661,463,,
662,463,,
663,463,,
664,463,,
665,463,,
666,463,,
667,463,,
668,463,,
669,463,,
670,463,,
671,463,,
672,463,,
673,463,,
674,462,,
675,462,,
676,462,,
677,462,,
678,462,,
679,462,,
680,462,,
681,462,,
682,462,,
683,462,,
684,462,,
685,462,,
686,462,,
687,462,,
688,462,,
689,462,,
690,462,,
691,462,,
692,462,,
693,462,,
694,462,,
695,462,,
696,462,,
697,462,,
698,462,,
699,462,,
700,462,,
701,462,,
702,462,,
703,462,,
704,462,,
705,462,,
706,462,,
707,462,,
708,462,,
709,462,,
710,462,,
711,462,,
712,462,,
713,462,,
714,462,,
715,462,,
716,461,,
717,461,,
718,461,,
719,461,,
720,461,,
721,461,,
722,461,,
723,461,,
724,461,,
725,461,,
726,461,,
727,461,,
728,461,,
729,461,,
730,461,,
731,461,,
732,461,,
733,461,,
734,461,,
735,461,,
736,460,,
737,460,,
738,460,,
739,460,,
740,460,,
741,460,,
742,460,,
743,460,,
744,460,,
745,460,,
746,460,,
747,460,,
748,460,,
749,460,,
750,460,,
751,460,,
752,459,,
753,459,,
754,459,,
755,459,,
756,459,,
757,459,,
758,459,,
759,459,,
760,459,,
761,459,,
762,458,,
763,458,,
764,458,,
765,458,,
766,458,,
767,458,,
768,458,,
769,458,,
770,458,,
771,458,,
772,458,,
773,458,,
774,458,,
775,458,,
776,458,,
777,457,,
778,457,,
779,457,,
780,457,,
781,457,,
782,457,,
783,457,,
784,457,,
785,457,,
786,456,,
787,456,,
788,456,,
789,456,,
790,456,,
791,456,,
792,456,,
793,456,,
794,456,,
795,456,,
796,456,,
797,456,,
798,456,,
799,456,,
800,456,,
801,455,,
802,455,,
803,455,,
804,455,,
805,455,,
806,455,,
807,455,,
808,455,,
809,455,,
810,455,,
811,455,,
812,455,,
813,455,,
814,454,,
815,454,,
816,454,,
817,454,,
818,454,,
819,454,,
820,454,,
821,454,,
822,453,,
823,453,,
824,453,,
825,453,,
826,453,,
827,453,,
828,453,,
829,453,,
830,453,,
831,453,,
832,453,,
833,453,,
834,452,,
835,452,,
836,452,,
837,452,,
